ENTIDAD,KEY_benef_loc,KEY_inegi_localidad,best_match
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-rancho martin vicente,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-villa de tututepec de melchor ocampo-el tlacuache,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-san nicolas-san nicolas,oaxaca-san nicolas-agua del higo,oaxaca-san nicolas-agua del higo
OAXACA,oaxaca-santiago chazumba-acaquizapam,oaxaca-villa de santiago chazumba-acaquizapam,oaxaca-villa de santiago chazumba-acaquizapam
OAXACA,oaxaca-loma bonita-el mirador,oaxaca-loma bonita-loma bonita,oaxaca-loma bonita-loma bonita
OAXACA,oaxaca-santa cruz nundaco-loma nuhucua,oaxaca-santa cruz nundaco-loma nuhu-cua,oaxaca-santa cruz nundaco-loma nuhu-cua
OAXACA,oaxaca-villa de tututepec de melchor ocampo-la canada,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santa cruz nundaco-ojo de agua,oaxaca-santa cruz nundaco-santa cruz nundaco,oaxaca-santa cruz nundaco-santa cruz nundaco
OAXACA,oaxaca-san mateo yucutindoo-el sabino,oaxaca-san mateo yucutindoo-san mateo yucutindoo,oaxaca-san mateo yucutindoo-san mateo yucutindoo
OAXACA,oaxaca-san juan mixtepec-santa cruz,oaxaca-santa cruz mixtepec-santa cruz mixtepec,oaxaca-santa cruz mixtepec-santa cruz mixtepec
OAXACA,oaxaca-san juan mixtepec-santa cruz,oaxaca-santa cruz mixtepec-santa cruz mixtepec,oaxaca-santa cruz mixtepec-santa cruz mixtepec
OAXACA,oaxaca-san agustin tlacotepec-yosojica,oaxaca-san agustin tlacotepec-san agustin tlacotepec,oaxaca-san agustin tlacotepec-san agustin tlacotepec
OAXACA,oaxaca-san antonio sinicahua-san jose,oaxaca-san antonio sinicahua-san antonio sinicahua,oaxaca-san antonio sinicahua-san antonio sinicahua
OAXACA,oaxaca-san antonio sinicahua-santa cruz,oaxaca-san antonio sinicahua-san antonio sinicahua,oaxaca-san antonio sinicahua-san antonio sinicahua
OAXACA,oaxaca-santiago chazumba-san juan nochixtlan,oaxaca-villa de santiago chazumba-san juan nochixtlan,oaxaca-villa de santiago chazumba-san juan nochixtlan
OAXACA,oaxaca-santiago pinotepa nacional-el ciruelo,oaxaca-santiago pinotepa nacional-santiago pinotepa nacional,oaxaca-santiago pinotepa nacional-santiago pinotepa nacional
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-la venta,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-playa san vicente,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-san carlos yautepec-guadalupe victoria,oaxaca-san carlos yautepec-san carlos yautepec,oaxaca-san carlos yautepec-san carlos yautepec
OAXACA,oaxaca-santiago chazumba-san jose chichihualtepec,oaxaca-villa de santiago chazumba-san jose chichihualtepec,oaxaca-villa de santiago chazumba-san jose chichihualtepec
OAXACA,oaxaca-san juan cacahuatepec-buenavista,oaxaca-san juan cacahuatepec-san juan cacahuatepec,oaxaca-san juan cacahuatepec-san juan cacahuatepec
OAXACA,oaxaca-santiago amoltepec-la soledad,oaxaca-santiago jamiltepec-la soledad,oaxaca-santiago jamiltepec-la soledad
OAXACA,oaxaca-san sebastian tecomaxtlahuaca-canada de lobo,oaxaca-san sebastian tecomaxtlahuaca-san sebastian tecomaxtlahuaca,oaxaca-san sebastian tecomaxtlahuaca-san sebastian tecomaxtlahuaca
OAXACA,oaxaca-san juan juquila mixes-guadalupe victoria,oaxaca-san juan juquila mixes-san juan juquila mixes,oaxaca-san juan juquila mixes-san juan juquila mixes
OAXACA,oaxaca-villa de tututepec de melchor ocampo-el cacalote,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santa maria chilchotla-benito juarez,oaxaca-santa maria chilchotla-santa maria chilchotla,oaxaca-santa maria chilchotla-santa maria chilchotla
OAXACA,oaxaca-villa de tututepec de melchor ocampo-santiago jocotepec,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santos reyes nopala-vista hermosa,oaxaca-santos reyes nopala-santos reyes nopala,oaxaca-santos reyes nopala-santos reyes nopala
OAXACA,oaxaca-santa maria chilchotla-villa hermosa,oaxaca-santa maria chilchotla-vista hermosa,oaxaca-santa maria chilchotla-vista hermosa
OAXACA,oaxaca-nejapa de madero-las animas,oaxaca-nejapa de madero-nejapa de madero,oaxaca-nejapa de madero-nejapa de madero
OAXACA,oaxaca-san miguel soyaltepec-corral de piedra,oaxaca-san miguel soyaltepec-piedra de cal,oaxaca-san miguel soyaltepec-piedra de cal
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-la ventosa,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-san pedro ixtlahuaca-loma bonita (paraje jaguey),oaxaca-san pedro ixtlahuaca-san pedro ixtlahuaca,oaxaca-san pedro ixtlahuaca-san pedro ixtlahuaca
OAXACA,oaxaca-san francisco telixtlahuaca-ojo de agua,oaxaca-san francisco telixtlahuaca-san francisco telixtlahuaca,oaxaca-san francisco telixtlahuaca-san francisco telixtlahuaca
OAXACA,oaxaca-san juan bautista tuxtepec-ojo de agua,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec,oaxaca-san juan bautista tuxtepec-san juan bautista tuxtepec
OAXACA,oaxaca-santiago pinotepa nacional-el carrizo,oaxaca-santiago pinotepa nacional-santiago pinotepa nacional,oaxaca-santiago pinotepa nacional-santiago pinotepa nacional
OAXACA,oaxaca-santa maria huatulco-sector u-dos sur,oaxaca-santa maria huatulco-sector u-dos,oaxaca-santa maria huatulco-sector u-dos
OAXACA,oaxaca-chalcatongo de hidalgo-abasolo,oaxaca-chalcatongo de hidalgo-chalcatongo de hidalgo,oaxaca-chalcatongo de hidalgo-chalcatongo de hidalgo
OAXACA,oaxaca-san sebastian rio hondo-cieneguilla,oaxaca-san sebastian rio hondo-san sebastian rio hondo,oaxaca-san sebastian rio hondo-san sebastian rio hondo
OAXACA,oaxaca-santiago juxtlahuaca-santiago naranjos,oaxaca-santiago juxtlahuaca-santiago naranjas,oaxaca-santiago juxtlahuaca-santiago naranjas
OAXACA,oaxaca-san juan bautista valle nacional-cerro marin (monte flor),oaxaca-san juan bautista valle nacional-san juan bautista valle nacional,oaxaca-san juan bautista valle nacional-san juan bautista valle nacional
OAXACA,oaxaca-santiago yosondua-buenavista,oaxaca-santiago yosondua-santiago yosondua,oaxaca-santiago yosondua-santiago yosondua
OAXACA,oaxaca-san juan cotzocon-benito juarez,oaxaca-san juan cotzocon-san juan cotzocon,oaxaca-san juan cotzocon-san juan cotzocon
OAXACA,oaxaca-san mateo etlatongo-la luz,oaxaca-san mateo etlatongo-san mateo etlatongo,oaxaca-san mateo etlatongo-san mateo etlatongo
OAXACA,oaxaca-villa de tututepec de melchor ocampo-santa cruz tututepec,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santa maria chilchotla-la trinidad,oaxaca-santa maria chilchotla-santa maria chilchotla,oaxaca-santa maria chilchotla-santa maria chilchotla
OAXACA,oaxaca-san miguel soyaltepec-nuevo paso nazareno (chichicazapa),oaxaca-san miguel soyaltepec-nuevo paso nazareno,oaxaca-san miguel soyaltepec-nuevo paso nazareno
OAXACA,oaxaca-villa de tututepec de melchor ocampo-la luz,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santa maria petapa-buenavista,oaxaca-santa maria petapa-santa maria petapa,oaxaca-santa maria petapa-santa maria petapa
OAXACA,oaxaca-san francisco del mar-san francisco viejo,oaxaca-san francisco del mar-san francisco del mar pueblo viejo,oaxaca-san francisco del mar-san francisco del mar pueblo viejo
OAXACA,oaxaca-heroica ciudad de tlaxiaco-barrio san diego,oaxaca-heroica ciudad de tlaxiaco-barrio de san diego,oaxaca-heroica ciudad de tlaxiaco-barrio de san diego
OAXACA,oaxaca-san miguel amatitlan-venta de uribe de juarez,oaxaca-san miguel amatitlan-venta uribe de juarez,oaxaca-san miguel amatitlan-venta uribe de juarez
OAXACA,oaxaca-san mateo cajonos-rancho alegre,oaxaca-san mateo cajonos-san mateo cajonos,oaxaca-san mateo cajonos-san mateo cajonos
OAXACA,oaxaca-san esteban atatlahuca-morelos,oaxaca-san esteban atatlahuca-san esteban atatlahuca,oaxaca-san esteban atatlahuca-san esteban atatlahuca
OAXACA,oaxaca-villa de tututepec de melchor ocampo-san jose del progreso,oaxaca-san jose del progreso-san jose del progreso,oaxaca-san jose del progreso-san jose del progreso
OAXACA,oaxaca-villa de tututepec de melchor ocampo-playa vieja,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-santa ines del monte-el carmen,oaxaca-santa ines del monte-santa ines del monte,oaxaca-santa ines del monte-santa ines del monte
OAXACA,oaxaca-villa de tututepec de melchor ocampo-penas negras,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
OAXACA,oaxaca-silacayoapam-san sebastian,oaxaca-silacayoapam-silacayoapam,oaxaca-silacayoapam-silacayoapam
OAXACA,oaxaca-santa maria jacatepec-emiliano zapata,oaxaca-santa maria jacatepec-santa maria jacatepec,oaxaca-santa maria jacatepec-santa maria jacatepec
OAXACA,oaxaca-santiago tenango-el tejocote,oaxaca-santiago tenango-santiago tenango,oaxaca-santiago tenango-santiago tenango
OAXACA,oaxaca-villa diaz ordaz-el carrizal,oaxaca-villa diaz ordaz-villa diaz ordaz,oaxaca-villa diaz ordaz-villa diaz ordaz
OAXACA,oaxaca-santa cruz itundujia-hidalgo,oaxaca-santa cruz itundujia-santa cruz itundujia,oaxaca-santa cruz itundujia-santa cruz itundujia
OAXACA,oaxaca-tlacolula de matamoros-tanivet [centro de readaptacion social femenil],oaxaca-tlacolula de matamoros-tlacolula de matamoros,oaxaca-tlacolula de matamoros-tlacolula de matamoros
OAXACA,oaxaca-heroica ciudad de juchitan de zaragoza-charis,oaxaca-juchitan de zaragoza-juchitan de zaragoza,oaxaca-juchitan de zaragoza-juchitan de zaragoza
OAXACA,oaxaca-san agustin loxicha-tierra blanca,oaxaca-san agustin loxicha-san agustin loxicha,oaxaca-san agustin loxicha-san agustin loxicha
OAXACA,oaxaca-villa de tututepec de melchor ocampo-santa maria acatepec,oaxaca-villa de tututepec-villa de tututepec,oaxaca-villa de tututepec-villa de tututepec
