KEY_benef_loc;match_score;KEY_inegi_localidad
ayutla de los libres-el mesoncillo;97;ayutla de los libres-el mezoncillo
ayutla de los libres-meson zapote;97;ayutla de los libres-mezon zapote
chilpancingo de los bravo-azinyahualco (canada de azingehualco);97;chilpancingo de los bravo-azinyahualco (canada de azinyahualco)
chilapa de alvarez-acostapachtlan;97;chilapa de alvarez-acojtapachtlan
atlixtac-chimixtla;97;atlixtac-chilmixtla
ayutla de los libres-meson chico;97;ayutla de los libres-mezon chico
chilapa de alvarez-tlayelpan;98;chilapa de alvarez-tlayelpa
tecoanapa-lazaro cardenas (cololonia lazaro cardenas del rio);98;tecoanapa-lazaro cardenas (colonia lazaro cardenas del rio)
chilapa de alvarez-buenavista;98;chilapa de alvarez-buena vista
chilapa de alvarez-jocutla;98;chilapa de alvarez-ocutla
ayutla de los libres-plan de paraiso;99;ayutla de los libres-plan del paraiso
chilapa de alvarez-buenavista del rio;99;chilapa de alvarez-buena vista del rio
coyuca de benitez-pueblo viejo;100;coyuca de benitez-pueblo viejo
coyuca de benitez-agua zarca;100;coyuca de benitez-agua zarca
coyuca de benitez-yerbasantita;100;coyuca de benitez-yerbasantita
cutzamala de pinzon-limon grande;100;cutzamala de pinzon-limon grande
arcelia-ixcatepec;100;arcelia-ixcatepec
tlalchapa-tlalchapa;100;tlalchapa-tlalchapa
ahuacuotzingo-rincon de cozahuapa;100;ahuacuotzingo-rincon de cozahuapa
ahuacuotzingo-ahuacuotzingo;100;ahuacuotzingo-ahuacuotzingo
ahuacuotzingo-mitlancingo;100;ahuacuotzingo-mitlancingo
tecoanapa-tecuantepec;100;tecoanapa-tecuantepec
atlixtac-atlixtac;100;atlixtac-atlixtac
ahuacuotzingo-tlaquilcingo;100;ahuacuotzingo-tlaquilcingo
tlapa de comonfort-colonia san sebastian;100;tlapa de comonfort-colonia san sebastian
tlapa de comonfort-xalatzala;100;tlapa de comonfort-xalatzala
tlalchapa-la cacanicua de arriba;100;tlalchapa-la cacanicua de arriba
atlixtac-huitzacotla;100;atlixtac-huitzacotla
copanatoyac-tlalquetzalapa;100;copanatoyac-tlalquetzalapa
tlapa de comonfort-san miguel axoxuca;100;tlapa de comonfort-san miguel axoxuca
tlapa de comonfort-tlapa de comonfort;100;tlapa de comonfort-tlapa de comonfort
coyuca de benitez-las compuertas;100;coyuca de benitez-las compuertas
coyuca de benitez-coyuca de benitez;100;coyuca de benitez-coyuca de benitez
tlapa de comonfort-ipan xali;100;tlapa de comonfort-ipan xali
san marcos-jimenez;100;san marcos-jimenez
general canuto a. neri-acapetlahuaya;100;general canuto a. neri-acapetlahuaya
atlixtac-ixmatla;100;atlixtac-ixmatla
